"Step","sage-river-94 - train/loss","sage-river-94 - train/loss__MIN","sage-river-94 - train/loss__MAX","spring-frog-84 - train/loss","spring-frog-84 - train/loss__MIN","spring-frog-84 - train/loss__MAX"
"124","0.2275","0.2275","0.2275","","",""
"125","0.2008","0.2008","0.2008","","",""
"126","0.2181","0.2181","0.2181","","",""
"127","0.2189","0.2189","0.2189","","",""
"128","0.2503","0.2503","0.2503","","",""
"129","0.2205","0.2205","0.2205","","",""
"130","0.1906","0.1906","0.1906","","",""
"131","0.1306","0.1306","0.1306","","",""
"132","0.1228","0.1228","0.1228","","",""
"133","0.0773","0.0773","0.0773","","",""
"134","0.0804","0.0804","0.0804","","",""
"135","0.162","0.162","0.162","","",""
"136","0.1323","0.1323","0.1323","","",""
"137","0.1142","0.1142","0.1142","","",""
"138","0.1336","0.1336","0.1336","","",""
"139","0.1489","0.1489","0.1489","","",""
"140","0.1955","0.1955","0.1955","","",""
"141","0.1375","0.1375","0.1375","","",""
"142","0.1754","0.1754","0.1754","","",""
"143","0.1937","0.1937","0.1937","","",""
"144","0.2296","0.2296","0.2296","","",""
"145","0.163","0.163","0.163","","",""
"146","0.1437","0.1437","0.1437","","",""
"147","0.0966","0.0966","0.0966","","",""
"148","0.103","0.103","0.103","","",""
"149","0.0492","0.0492","0.0492","","",""
