"Step","pious-hill-96 - train/loss","pious-hill-96 - train/loss__MIN","pious-hill-96 - train/loss__MAX","atomic-plasma-92 - train/loss","atomic-plasma-92 - train/loss__MIN","atomic-plasma-92 - train/loss__MAX","swept-serenity-90 - train/loss","swept-serenity-90 - train/loss__MIN","swept-serenity-90 - train/loss__MAX"
"63","1.6346","1.6346","1.6346","1.5063","1.5063","1.5063","1.7793","1.7793","1.7793"
"64","1.4932","1.4932","1.4932","1.3743","1.3743","1.3743","1.4491","1.4491","1.4491"
"65","1.6504","1.6504","1.6504","1.5282","1.5282","1.5282","1.6235","1.6235","1.6235"
"66","1.6344","1.6344","1.6344","1.5046","1.5046","1.5046","1.4471","1.4471","1.4471"
"67","1.6438","1.6438","1.6438","1.513","1.513","1.513","1.3745","1.3745","1.3745"
"68","1.7823","1.7823","1.7823","1.6455","1.6455","1.6455","1.721","1.721","1.721"
"69","1.6921","1.6921","1.6921","1.5637","1.5637","1.5637","1.6488","1.6488","1.6488"
"70","1.7995","1.7995","1.7995","1.6614","1.6614","1.6614","1.5249","1.5249","1.5249"
"71","1.7436","1.7436","1.7436","1.6143","1.6143","1.6143","1.454","1.454","1.454"
"72","1.692","1.692","1.692","1.5611","1.5611","1.5611","1.4761","1.4761","1.4761"
"73","1.7327","1.7327","1.7327","1.5929","1.5929","1.5929","1.4938","1.4938","1.4938"
"74","1.6982","1.6982","1.6982","1.5655","1.5655","1.5655","1.5547","1.5547","1.5547"
"75","1.5881","1.5881","1.5881","1.4729","1.4729","1.4729","1.5595","1.5595","1.5595"
"76","1.5873","1.5873","1.5873","1.4675","1.4675","1.4675","1.4296","1.4296","1.4296"
"77","1.7349","1.7349","1.7349","1.5979","1.5979","1.5979","1.3701","1.3701","1.3701"
"78","1.7407","1.7407","1.7407","1.5995","1.5995","1.5995","1.5023","1.5023","1.5023"
"79","1.5791","1.5791","1.5791","1.4533","1.4533","1.4533","1.5669","1.5669","1.5669"
"80","1.8315","1.8315","1.8315","1.705","1.705","1.705","1.5136","1.5136","1.5136"
"81","1.6689","1.6689","1.6689","1.5398","1.5398","1.5398","1.5281","1.5281","1.5281"
"82","1.5705","1.5705","1.5705","1.4465","1.4465","1.4465","1.4225","1.4225","1.4225"
"83","1.6809","1.6809","1.6809","1.5499","1.5499","1.5499","1.5286","1.5286","1.5286"
"84","1.7281","1.7281","1.7281","1.6002","1.6002","1.6002","1.5782","1.5782","1.5782"
