"Step","peachy-cosmos-95 - train/loss","peachy-cosmos-95 - train/loss__MIN","peachy-cosmos-95 - train/loss__MAX","sage-river-94 - train/loss","sage-river-94 - train/loss__MIN","sage-river-94 - train/loss__MAX"
"93","0.3905","0.3905","0.3905","0.4475","0.4475","0.4475"
"94","0.3189","0.3189","0.3189","0.366","0.366","0.366"
"95","0.3161","0.3161","0.3161","0.3762","0.3762","0.3762"
"96","0.3036","0.3036","0.3036","0.3793","0.3793","0.3793"
"97","0.3169","0.3169","0.3169","0.4051","0.4051","0.4051"
"98","0.2734","0.2734","0.2734","0.3539","0.3539","0.3539"
"99","0.2676","0.2676","0.2676","0.3161","0.3161","0.3161"
"100","0.1811","0.1811","0.1811","0.2165","0.2165","0.2165"
"101","0.204","0.204","0.204","0.2396","0.2396","0.2396"
"102","0.1349","0.1349","0.1349","0.1388","0.1388","0.1388"
"103","0.2122","0.2122","0.2122","0.2018","0.2018","0.2018"
"104","0.3017","0.3017","0.3017","0.2634","0.2634","0.2634"
"105","0.2663","0.2663","0.2663","0.2509","0.2509","0.2509"
"106","0.176","0.176","0.176","0.205","0.205","0.205"
"107","0.1953","0.1953","0.1953","0.2509","0.2509","0.2509"
"108","0.2306","0.2306","0.2306","0.2948","0.2948","0.2948"
"109","0.2591","0.2591","0.2591","0.3082","0.3082","0.3082"
"110","0.2157","0.2157","0.2157","0.2704","0.2704","0.2704"
"111","0.2174","0.2174","0.2174","0.2872","0.2872","0.2872"
"112","0.2379","0.2379","0.2379","0.3302","0.3302","0.3302"
"113","0.2317","0.2317","0.2317","0.3181","0.3181","0.3181"
"114","0.1878","0.1878","0.1878","0.2523","0.2523","0.2523"
"115","0.1716","0.1716","0.1716","0.2082","0.2082","0.2082"
"116","0.1292","0.1292","0.1292","0.177","0.177","0.177"
"117","0.112","0.112","0.112","0.1368","0.1368","0.1368"
"118","0.0821","0.0821","0.0821","0.1001","0.1001","0.1001"
"119","0.196","0.196","0.196","0.2113","0.2113","0.2113"
"120","0.2021","0.2021","0.2021","0.1969","0.1969","0.1969"
"121","0.1616","0.1616","0.1616","0.1841","0.1841","0.1841"
"122","0.1226","0.1226","0.1226","0.1664","0.1664","0.1664"
"123","0.1285","0.1285","0.1285","0.1791","0.1791","0.1791"
"124","0.1799","0.1799","0.1799","0.2275","0.2275","0.2275"
"125","0.1782","0.1782","0.1782","0.2008","0.2008","0.2008"
"126","0.1829","0.1829","0.1829","0.2181","0.2181","0.2181"
"127","0.1754","0.1754","0.1754","0.2189","0.2189","0.2189"
"128","0.1944","0.1944","0.1944","0.2503","0.2503","0.2503"
"129","0.1637","0.1637","0.1637","0.2205","0.2205","0.2205"
"130","0.1482","0.1482","0.1482","0.1906","0.1906","0.1906"
"131","0.1051","0.1051","0.1051","0.1306","0.1306","0.1306"
"132","0.0925","0.0925","0.0925","0.1228","0.1228","0.1228"
"133","0.0668","0.0668","0.0668","0.0773","0.0773","0.0773"
"134","0.0798","0.0798","0.0798","0.0804","0.0804","0.0804"
"135","0.1737","0.1737","0.1737","0.162","0.162","0.162"
"136","0.1469","0.1469","0.1469","0.1323","0.1323","0.1323"
"137","0.1003","0.1003","0.1003","0.1142","0.1142","0.1142"
"138","0.0992","0.0992","0.0992","0.1336","0.1336","0.1336"
"139","0.1134","0.1134","0.1134","0.1489","0.1489","0.1489"
"140","0.1682","0.1682","0.1682","0.1955","0.1955","0.1955"
"141","0.1178","0.1178","0.1178","0.1375","0.1375","0.1375"
"142","0.1423","0.1423","0.1423","0.1754","0.1754","0.1754"
"143","0.1521","0.1521","0.1521","0.1937","0.1937","0.1937"
"144","0.1668","0.1668","0.1668","0.2296","0.2296","0.2296"
"145","0.1165","0.1165","0.1165","0.163","0.163","0.163"
"146","0.1159","0.1159","0.1159","0.1437","0.1437","0.1437"
"147","0.0743","0.0743","0.0743","0.0966","0.0966","0.0966"
"148","0.0823","0.0823","0.0823","0.103","0.103","0.103"
"149","0.0427","0.0427","0.0427","0.0492","0.0492","0.0492"
